file name,domain reading time,observations reading time
full-20-1-5-1-2-3Observations-15,153394056,433433,3
full-20-1-5-1-2-3Observations-89,14140068,163226,1
full-20-1-5-1-2-3Observations-87,30187555,609718,3
full-20-1-5-1-2-3Observations-36,53612033,1327675,3
full-20-1-5-1-2-3Observations-7,17633361,336608,1
full-20-1-5-1-2-3Observations-40,4253636,141116,2
full-20-1-5-1-2-3Observations-53,4031145,127926,1
full-20-1-5-1-2-3Observations-39,4620113,201553,2
full-20-1-5-1-2-3Observations-43,15521277,150253,1
full-20-1-5-1-2-3Observations-66,4173593,148727,3
full-20-1-5-1-2-3Observations-75,3897765,151673,1
full-20-1-5-1-2-3Observations-68,7522610,140259,5
full-20-1-5-1-2-3Observations-94,3356878,196947,3
full-20-1-5-1-2-3Observations-21,3092135,94465,3
full-20-1-5-1-2-3Observations-97,3094791,110927,1
full-20-1-5-1-2-3Observations-46,2809585,174239,1
full-20-1-5-1-2-3Observations-62,2720920,116704,3
full-20-1-5-1-2-3Observations-52,3295615,131592,7
full-20-1-5-1-2-3Observations-11,7717778,136807,3
full-20-1-5-1-2-3Observations-32,4354936,131557,1
full-20-1-5-1-2-3Observations-26,4422939,125366,1
full-20-1-5-1-2-3Observations-88,11832583,135436,2
full-20-1-5-1-2-3Observations-6,2542241,153611,2
full-20-1-5-1-2-3Observations-85,2344864,115451,5
full-20-1-5-1-2-3Observations-54,3375365,125823,2
full-20-1-5-1-2-3Observations-65,5830748,163678,3
full-20-1-5-1-2-3Observations-70,2224191,121421,2
full-20-1-5-1-2-3Observations-41,6887951,138744,2
full-20-1-5-1-2-3Observations-82,4484748,126242,2
full-20-1-5-1-2-3Observations-73,8743126,468277,3
full-20-1-5-1-2-3Observations-37,4480136,150935,1
full-20-1-5-1-2-3Observations-4,8244388,1224646,1
full-20-1-5-1-2-3Observations-47,2185785,130450,1
full-20-1-5-1-2-3Observations-2,41505082,120220,1
full-20-1-5-1-2-3Observations-10,8599132,323195,1
full-20-1-5-1-2-3Observations-1,4709532,158652,1
full-20-1-5-1-2-3Observations-3,8693404,192504,7
full-20-1-5-1-2-3Observations-5,2692208,120259,2
full-20-1-5-1-2-3Observations-95,1907420,116391,3
full-20-1-5-1-2-3Observations-63,4135750,566289,5
full-20-1-5-1-2-3Observations-64,3634001,200210,3
full-20-1-5-1-2-3Observations-72,3365863,106395,1
full-20-1-5-1-2-3Observations-42,14457524,111285,4
full-20-1-5-1-2-3Observations-77,1922967,111432,2
full-20-1-5-1-2-3Observations-51,3854092,138494,4
full-20-1-5-1-2-3Observations-17,2121664,286917,1
full-20-1-5-1-2-3Observations-44,15507876,134586,4
full-20-1-5-1-2-3Observations-91,10942337,163659,1
full-20-1-5-1-2-3Observations-45,6018647,641291,1
full-20-1-5-1-2-3Observations-34,6858980,220352,1
full-20-1-5-1-2-3Observations-99,5294157,264684,2
full-20-1-5-1-2-3Observations-29,4964101,101524,1
full-20-1-5-1-2-3Observations-80,4104392,114231,1
full-20-1-5-1-2-3Observations-83,1653816,130726,1
full-20-1-5-1-2-3Observations-50,2569040,225881,3
full-20-1-5-1-2-3Observations-18,1763617,171067,6
full-20-1-5-1-2-3Observations-27,2234705,130183,5
full-20-1-5-1-2-3Observations-28,1565204,111060,3
full-20-1-5-1-2-3Observations-22,1691158,150360,7
full-20-1-5-1-2-3Observations-69,2074884,125437,1
full-20-1-5-1-2-3Observations-12,1533931,142377,1
full-20-1-5-1-2-3Observations-60,1744093,106929,2
full-20-1-5-1-2-3Observations-58,1959940,193728,3
full-20-1-5-1-2-3Observations-84,12981300,148465,1
full-20-1-5-1-2-3Observations-98,5904699,125916,1
full-20-1-5-1-2-3Observations-78,1539769,134351,2
full-20-1-5-1-2-3Observations-56,1621009,119064,4
full-20-1-5-1-2-3Observations-100,1618039,108541,1
full-20-1-5-1-2-3Observations-79,2360072,126546,1
full-20-1-5-1-2-3Observations-71,1562876,112934,2
full-20-1-5-1-2-3Observations-55,1665552,116945,1
full-20-1-5-1-2-3Observations-13,1765794,900347,3
full-20-1-5-1-2-3Observations-25,1999234,478570,1
full-20-1-5-1-2-3Observations-67,1577136,119071,3
full-20-1-5-1-2-3Observations-30,1631047,132954,2
full-20-1-5-1-2-3Observations-93,1500090,178163,2
full-20-1-5-1-2-3Observations-74,1714705,238798,3
full-20-1-5-1-2-3Observations-19,1478881,96824,3
full-20-1-5-1-2-3Observations-59,1583973,132583,1
full-20-1-5-1-2-3Observations-92,2136554,150599,4
full-20-1-5-1-2-3Observations-9,1741846,150844,4
full-20-1-5-1-2-3Observations-48,2009726,159160,5
full-20-1-5-1-2-3Observations-16,8157726,147448,2
full-20-1-5-1-2-3Observations-61,2111345,154691,1
full-20-1-5-1-2-3Observations-57,5069322,957891,3
full-20-1-5-1-2-3Observations-24,1691840,99860,5
full-20-1-5-1-2-3Observations-96,1435297,100790,1
full-20-1-5-1-2-3Observations-35,1038602,60056,3
full-20-1-5-1-2-3Observations-14,1582541,113223,4
full-20-1-5-1-2-3Observations-86,1595553,95288,1
full-20-1-5-1-2-3Observations-33,78067162,100063,2
full-20-1-5-1-2-3Observations-20,1487088,130866,1
full-20-1-5-1-2-3Observations-76,1679658,81851,2
full-20-1-5-1-2-3Observations-23,7228565,199743,5
full-20-1-5-1-2-3Observations-31,1525374,107637,2
full-20-1-5-1-2-3Observations-38,1447661,107021,1
full-20-1-5-1-2-3Observations-90,1472240,96664,2
full-20-1-5-1-2-3Observations-81,1529929,102356,3
full-20-1-5-1-2-3Observations-49,1651190,106760,1
full-20-1-5-1-2-3Observations-8,1451704,98619,5
