file name,domain reading time,observations reading time
full-20-1-5-1-2-3Observations-15,158391411,435352,3
full-20-1-5-1-2-3Observations-89,33042540,192706,1
full-20-1-5-1-2-3Observations-87,30980941,184864,3
full-20-1-5-1-2-3Observations-36,5317509,164617,3
full-20-1-5-1-2-3Observations-7,14254208,218689,1
full-20-1-5-1-2-3Observations-40,12190064,162127,2
full-20-1-5-1-2-3Observations-53,4727014,126903,1
full-20-1-5-1-2-3Observations-39,8674501,171487,2
full-20-1-5-1-2-3Observations-43,3754866,141721,1
full-20-1-5-1-2-3Observations-66,7078928,170184,3
full-20-1-5-1-2-3Observations-75,3875515,133633,1
full-20-1-5-1-2-3Observations-68,8240615,225959,5
full-20-1-5-1-2-3Observations-94,3497064,196371,3
full-20-1-5-1-2-3Observations-21,4457346,138226,3
full-20-1-5-1-2-3Observations-97,5834967,559706,1
full-20-1-5-1-2-3Observations-46,4649394,129183,1
full-20-1-5-1-2-3Observations-62,3171734,127748,3
full-20-1-5-1-2-3Observations-52,7025852,188251,7
full-20-1-5-1-2-3Observations-11,11264323,150071,3
full-20-1-5-1-2-3Observations-32,3565263,134280,1
full-20-1-5-1-2-3Observations-26,2351390,108476,1
full-20-1-5-1-2-3Observations-88,2703047,153650,2
full-20-1-5-1-2-3Observations-6,6366046,138929,2
full-20-1-5-1-2-3Observations-85,6676751,1906322,5
full-20-1-5-1-2-3Observations-54,2644969,121752,2
full-20-1-5-1-2-3Observations-65,2487161,139878,3
full-20-1-5-1-2-3Observations-70,2506816,123444,2
full-20-1-5-1-2-3Observations-41,7253492,131916,2
full-20-1-5-1-2-3Observations-82,7916258,118955,2
full-20-1-5-1-2-3Observations-73,18173328,121781,3
full-20-1-5-1-2-3Observations-37,2544964,113787,1
full-20-1-5-1-2-3Observations-4,1981971,308649,1
full-20-1-5-1-2-3Observations-47,16537232,169209,1
full-20-1-5-1-2-3Observations-2,19331902,242723,1
full-20-1-5-1-2-3Observations-10,25667930,116519,1
full-20-1-5-1-2-3Observations-1,13014610,2698601,1
full-20-1-5-1-2-3Observations-3,2051828,162027,7
full-20-1-5-1-2-3Observations-5,3206300,112699,2
full-20-1-5-1-2-3Observations-95,16431617,120204,3
full-20-1-5-1-2-3Observations-63,10767445,190312,5
full-20-1-5-1-2-3Observations-64,10178836,137002,3
full-20-1-5-1-2-3Observations-72,3307196,163399,1
full-20-1-5-1-2-3Observations-42,2549827,163898,4
full-20-1-5-1-2-3Observations-77,5877505,207524,2
full-20-1-5-1-2-3Observations-51,4369697,150001,4
full-20-1-5-1-2-3Observations-17,1919749,205617,1
full-20-1-5-1-2-3Observations-44,1651669,128207,4
full-20-1-5-1-2-3Observations-91,1762710,130908,1
full-20-1-5-1-2-3Observations-45,2192485,116139,1
full-20-1-5-1-2-3Observations-34,2987080,178787,1
full-20-1-5-1-2-3Observations-99,1732511,116147,2
full-20-1-5-1-2-3Observations-29,1522405,136120,1
full-20-1-5-1-2-3Observations-80,1707743,467981,1
full-20-1-5-1-2-3Observations-83,1609154,113377,1
full-20-1-5-1-2-3Observations-50,1686611,115667,3
full-20-1-5-1-2-3Observations-18,7230616,151836,6
full-20-1-5-1-2-3Observations-27,2184631,119088,5
full-20-1-5-1-2-3Observations-28,3231747,5442029,3
full-20-1-5-1-2-3Observations-22,5398341,185806,7
full-20-1-5-1-2-3Observations-69,1606906,143598,1
full-20-1-5-1-2-3Observations-12,1964768,136610,1
full-20-1-5-1-2-3Observations-60,7418897,138269,2
full-20-1-5-1-2-3Observations-58,1566392,98734,3
full-20-1-5-1-2-3Observations-84,1880219,130954,1
full-20-1-5-1-2-3Observations-98,8822508,130732,1
full-20-1-5-1-2-3Observations-78,1566687,97410,2
full-20-1-5-1-2-3Observations-56,3564119,110309,4
full-20-1-5-1-2-3Observations-100,1600054,84822,1
full-20-1-5-1-2-3Observations-79,5653081,123959,1
full-20-1-5-1-2-3Observations-71,1502744,92137,2
full-20-1-5-1-2-3Observations-55,2265950,101082,1
full-20-1-5-1-2-3Observations-13,1747867,94512,3
full-20-1-5-1-2-3Observations-25,1828436,114767,1
full-20-1-5-1-2-3Observations-67,1588706,117981,3
full-20-1-5-1-2-3Observations-30,1663777,151046,2
full-20-1-5-1-2-3Observations-93,1745127,117393,2
full-20-1-5-1-2-3Observations-74,2826190,140191,3
full-20-1-5-1-2-3Observations-19,12412490,118094,3
full-20-1-5-1-2-3Observations-59,2174978,112923,1
full-20-1-5-1-2-3Observations-92,7112819,105169,4
full-20-1-5-1-2-3Observations-9,10633786,137196,4
full-20-1-5-1-2-3Observations-48,1891319,253442,5
full-20-1-5-1-2-3Observations-16,2024629,102078,2
full-20-1-5-1-2-3Observations-61,2017195,154879,1
full-20-1-5-1-2-3Observations-57,1745665,133151,3
full-20-1-5-1-2-3Observations-24,1764125,138110,5
full-20-1-5-1-2-3Observations-96,1997174,99320,1
full-20-1-5-1-2-3Observations-35,1512241,88276,3
full-20-1-5-1-2-3Observations-14,1506430,105936,4
full-20-1-5-1-2-3Observations-86,4210778,1914100,1
full-20-1-5-1-2-3Observations-33,45170067,136321,2
full-20-1-5-1-2-3Observations-20,1526745,91778,1
full-20-1-5-1-2-3Observations-76,1554265,108069,2
full-20-1-5-1-2-3Observations-23,7157328,310847,5
full-20-1-5-1-2-3Observations-31,3466606,136332,2
full-20-1-5-1-2-3Observations-38,19467132,98057,1
full-20-1-5-1-2-3Observations-90,1947025,79364,2
full-20-1-5-1-2-3Observations-81,1399350,95447,3
full-20-1-5-1-2-3Observations-49,5826939,94859,1
full-20-1-5-1-2-3Observations-8,5577112,124329,5
