file name,domain reading time,observations reading time
full-20-1-5-1-2-3Observations-15,87493654,431805,3
full-20-1-5-1-2-3Observations-89,14563705,170553,1
full-20-1-5-1-2-3Observations-87,12640887,170002,3
full-20-1-5-1-2-3Observations-36,10136946,150745,3
full-20-1-5-1-2-3Observations-7,19525669,127236,1
full-20-1-5-1-2-3Observations-40,18671576,144034,2
full-20-1-5-1-2-3Observations-53,5265252,151698,1
full-20-1-5-1-2-3Observations-39,3851130,143630,2
full-20-1-5-1-2-3Observations-43,4396879,124779,1
full-20-1-5-1-2-3Observations-66,8268699,181133,3
full-20-1-5-1-2-3Observations-75,3649814,162298,1
full-20-1-5-1-2-3Observations-68,2869699,157086,5
full-20-1-5-1-2-3Observations-94,10293248,155847,3
full-20-1-5-1-2-3Observations-21,2794153,120963,3
full-20-1-5-1-2-3Observations-97,21568120,113966,1
full-20-1-5-1-2-3Observations-46,2425853,119036,1
full-20-1-5-1-2-3Observations-62,6693416,141606,3
full-20-1-5-1-2-3Observations-52,2563402,128500,7
full-20-1-5-1-2-3Observations-11,4240359,125396,3
full-20-1-5-1-2-3Observations-32,8806270,123841,1
full-20-1-5-1-2-3Observations-26,2286564,118475,1
full-20-1-5-1-2-3Observations-88,3235387,156826,2
full-20-1-5-1-2-3Observations-6,6071082,193418,2
full-20-1-5-1-2-3Observations-85,2249664,118892,5
full-20-1-5-1-2-3Observations-54,5074407,108561,2
full-20-1-5-1-2-3Observations-65,5360182,211352,3
full-20-1-5-1-2-3Observations-70,6352166,199780,2
full-20-1-5-1-2-3Observations-41,7269621,312156,2
full-20-1-5-1-2-3Observations-82,1993663,118070,2
full-20-1-5-1-2-3Observations-73,14259691,120990,3
full-20-1-5-1-2-3Observations-37,2377394,111501,1
full-20-1-5-1-2-3Observations-4,1257754,191281,1
full-20-1-5-1-2-3Observations-47,1807135,153168,1
full-20-1-5-1-2-3Observations-2,1830861,184576,1
full-20-1-5-1-2-3Observations-10,17226168,101461,1
full-20-1-5-1-2-3Observations-1,1826531,122552,1
full-20-1-5-1-2-3Observations-3,5991327,160843,7
full-20-1-5-1-2-3Observations-5,1536152,120229,2
full-20-1-5-1-2-3Observations-95,2954405,261000,3
full-20-1-5-1-2-3Observations-63,6043092,195836,5
full-20-1-5-1-2-3Observations-64,5902247,139746,3
full-20-1-5-1-2-3Observations-72,4608639,99270,1
full-20-1-5-1-2-3Observations-42,4145379,117302,4
full-20-1-5-1-2-3Observations-77,1368941,165062,2
full-20-1-5-1-2-3Observations-51,1868672,231913,4
full-20-1-5-1-2-3Observations-17,1551181,168824,1
full-20-1-5-1-2-3Observations-44,2496307,104704,4
full-20-1-5-1-2-3Observations-91,1553752,605578,1
full-20-1-5-1-2-3Observations-45,1611234,208470,1
full-20-1-5-1-2-3Observations-34,1659030,121033,1
full-20-1-5-1-2-3Observations-99,1635550,115184,2
full-20-1-5-1-2-3Observations-29,1611090,524389,1
full-20-1-5-1-2-3Observations-80,3043836,110737,1
full-20-1-5-1-2-3Observations-83,3289855,86902,1
full-20-1-5-1-2-3Observations-50,2896519,106806,3
full-20-1-5-1-2-3Observations-18,1509013,105762,6
full-20-1-5-1-2-3Observations-27,1541467,118937,5
full-20-1-5-1-2-3Observations-28,5330875,857790,3
full-20-1-5-1-2-3Observations-22,2198892,104286,7
full-20-1-5-1-2-3Observations-69,1337247,129496,1
full-20-1-5-1-2-3Observations-12,1630454,105694,1
full-20-1-5-1-2-3Observations-60,1458386,108586,2
full-20-1-5-1-2-3Observations-58,1882028,298826,3
full-20-1-5-1-2-3Observations-84,14700807,593750,1
full-20-1-5-1-2-3Observations-98,1786787,122635,1
full-20-1-5-1-2-3Observations-78,1333628,85468,2
full-20-1-5-1-2-3Observations-56,2367390,131806,4
full-20-1-5-1-2-3Observations-100,2746221,103065,1
full-20-1-5-1-2-3Observations-79,9649493,132399,1
full-20-1-5-1-2-3Observations-71,4354227,128712,2
full-20-1-5-1-2-3Observations-55,6716972,110882,1
full-20-1-5-1-2-3Observations-13,6361736,102780,3
full-20-1-5-1-2-3Observations-25,4198717,141825,1
full-20-1-5-1-2-3Observations-67,5306873,278108,3
full-20-1-5-1-2-3Observations-30,1489807,127340,2
full-20-1-5-1-2-3Observations-93,1749483,165949,2
full-20-1-5-1-2-3Observations-74,1405603,163457,3
full-20-1-5-1-2-3Observations-19,1409485,109757,3
full-20-1-5-1-2-3Observations-59,4463742,189383,1
full-20-1-5-1-2-3Observations-92,1486990,103607,4
full-20-1-5-1-2-3Observations-9,1537515,113361,4
full-20-1-5-1-2-3Observations-48,2778518,134366,5
full-20-1-5-1-2-3Observations-16,1419076,105854,2
full-20-1-5-1-2-3Observations-61,1464553,385386,1
full-20-1-5-1-2-3Observations-57,1823298,90254,3
full-20-1-5-1-2-3Observations-24,16471881,98739,5
full-20-1-5-1-2-3Observations-96,4805266,135212,1
full-20-1-5-1-2-3Observations-35,18223908,115768,3
full-20-1-5-1-2-3Observations-14,4379568,110119,4
full-20-1-5-1-2-3Observations-86,60033138,665790,1
full-20-1-5-1-2-3Observations-33,12206793,108422,2
full-20-1-5-1-2-3Observations-20,12177415,115125,1
full-20-1-5-1-2-3Observations-76,1830340,164411,2
full-20-1-5-1-2-3Observations-23,15571409,184877,5
full-20-1-5-1-2-3Observations-31,10969648,135223,2
full-20-1-5-1-2-3Observations-38,2575524,119043,1
full-20-1-5-1-2-3Observations-90,1358887,88558,2
full-20-1-5-1-2-3Observations-81,8619405,107267,3
full-20-1-5-1-2-3Observations-49,9588060,86992,1
full-20-1-5-1-2-3Observations-8,2541014,108154,5
