file name,domain reading time,observations reading time,
full-20-1-5-1-2-3Observations-18,1628871,202273,6
full-20-1-5-1-2-3Observations-27,78751094,270353,5
full-20-1-5-1-2-3Observations-28,2696101,199078,3
full-20-1-5-1-2-3Observations-22,2967227,247372,7
full-20-1-5-1-2-3Observations-69,1684215,140993,1
full-20-1-5-1-2-3Observations-12,1529668,136077,1
full-20-1-5-1-2-3Observations-60,1538075,143545,2
full-20-1-5-1-2-3Observations-58,5865129,153212,3
full-20-1-5-1-2-3Observations-84,1601060,145524,1
full-20-1-5-1-2-3Observations-98,1619189,138875,1
full-20-1-5-1-2-3Observations-78,1588899,145946,2
full-20-1-5-1-2-3Observations-56,1631661,145352,4
full-20-1-5-1-2-3Observations-100,1660811,148093,1
full-20-1-5-1-2-3Observations-79,1744501,149359,1
full-20-1-5-1-2-3Observations-71,1835204,146523,2
full-20-1-5-1-2-3Observations-55,1659767,119745,1
full-20-1-5-1-2-3Observations-13,5157983,134136,3
full-20-1-5-1-2-3Observations-25,1567652,148058,1
full-20-1-5-1-2-3Observations-67,1627432,137870,3
full-20-1-5-1-2-3Observations-30,1919382,149928,2
full-20-1-5-1-2-3Observations-93,18991622,299894,2
full-20-1-5-1-2-3Observations-74,1584024,128458,3
full-20-1-5-1-2-3Observations-19,2076149,163488,3
full-20-1-5-1-2-3Observations-59,1523040,138959,1
full-20-1-5-1-2-3Observations-92,1565958,133274,4
full-20-1-5-1-2-3Observations-9,3921458,164673,4
full-20-1-5-1-2-3Observations-48,1699928,154592,5
full-20-1-5-1-2-3Observations-16,1689884,135405,2
full-20-1-5-1-2-3Observations-61,1500713,132591,1
full-20-1-5-1-2-3Observations-57,2620615,133975,3
full-20-1-5-1-2-3Observations-24,2631614,175572,5
full-20-1-5-1-2-3Observations-96,4644561,150599,1
full-20-1-5-1-2-3Observations-35,6092233,159410,3
full-20-1-5-1-2-3Observations-14,3331311,4266363,4
full-20-1-5-1-2-3Observations-86,1585201,135076,1
full-20-1-5-1-2-3Observations-33,1583033,148944,2
full-20-1-5-1-2-3Observations-20,9576655,139353,1
full-20-1-5-1-2-3Observations-76,1407066,132919,2
full-20-1-5-1-2-3Observations-23,1489924,208371,5
full-20-1-5-1-2-3Observations-31,2334111,185298,2
full-20-1-5-1-2-3Observations-38,1441585,9839307,1
full-20-1-5-1-2-3Observations-90,1685157,134411,2
full-20-1-5-1-2-3Observations-81,2261277,303505,3
full-20-1-5-1-2-3Observations-49,1555522,147556,1
full-20-1-5-1-2-3Observations-8,1458180,149037,5
,,,
,,164426.5,
,,336573.23,
