file name,domain reading time,observations reading time,
full-20-1-5-1-2-3Observations-15,158223238,748736,3
full-20-1-5-1-2-3Observations-89,14600664,245505,1
full-20-1-5-1-2-3Observations-87,10966359,194944,3
full-20-1-5-1-2-3Observations-36,8727693,199421,3
full-20-1-5-1-2-3Observations-7,34133526,155071,1
full-20-1-5-1-2-3Observations-40,24090753,163778,2
full-20-1-5-1-2-3Observations-53,7949854,170542,1
full-20-1-5-1-2-3Observations-39,4020251,184300,2
full-20-1-5-1-2-3Observations-43,19364309,181895,1
full-20-1-5-1-2-3Observations-66,4084751,173025,3
full-20-1-5-1-2-3Observations-75,3390849,164180,1
full-20-1-5-1-2-3Observations-68,13148199,209233,5
full-20-1-5-1-2-3Observations-94,20650275,217972,3
full-20-1-5-1-2-3Observations-21,10296767,156625,3
full-20-1-5-1-2-3Observations-97,3382885,168326,1
full-20-1-5-1-2-3Observations-46,3107528,248124,1
full-20-1-5-1-2-3Observations-62,3159529,163770,3
full-20-1-5-1-2-3Observations-52,3480007,161119,7
full-20-1-5-1-2-3Observations-11,30671539,166896,3
full-20-1-5-1-2-3Observations-32,7712849,312591,1
full-20-1-5-1-2-3Observations-26,6202393,221248,1
full-20-1-5-1-2-3Observations-88,2649340,163724,2
full-20-1-5-1-2-3Observations-6,15433950,157207,2
full-20-1-5-1-2-3Observations-85,2545654,193080,5
full-20-1-5-1-2-3Observations-54,3118645,148879,2
full-20-1-5-1-2-3Observations-65,2262262,151393,3
full-20-1-5-1-2-3Observations-70,2837185,484208,2
full-20-1-5-1-2-3Observations-41,3452204,202560,2
full-20-1-5-1-2-3Observations-82,4798932,324851,2
full-20-1-5-1-2-3Observations-73,10471320,169412,3
full-20-1-5-1-2-3Observations-37,2326689,162257,1
full-20-1-5-1-2-3Observations-4,9806233,201119,1
full-20-1-5-1-2-3Observations-47,2154189,197673,1
full-20-1-5-1-2-3Observations-2,2758580,235294,1
full-20-1-5-1-2-3Observations-10,2281617,180867,1
full-20-1-5-1-2-3Observations-1,9746282,1669197,1
full-20-1-5-1-2-3Observations-3,5942953,186858,7
full-20-1-5-1-2-3Observations-5,11083676,173872,2
full-20-1-5-1-2-3Observations-95,15729190,188143,3
full-20-1-5-1-2-3Observations-63,4107863,170008,5
full-20-1-5-1-2-3Observations-64,2145422,217900,3
full-20-1-5-1-2-3Observations-72,3231129,135248,1
full-20-1-5-1-2-3Observations-42,3929657,187832,4
full-20-1-5-1-2-3Observations-77,2031192,163128,2
full-20-1-5-1-2-3Observations-51,4835435,188721,4
full-20-1-5-1-2-3Observations-17,3513086,248865,1
full-20-1-5-1-2-3Observations-44,1846250,165660,4
full-20-1-5-1-2-3Observations-91,2117421,161894,1
full-20-1-5-1-2-3Observations-45,2037690,171248,1
full-20-1-5-1-2-3Observations-34,1692990,146786,1
full-20-1-5-1-2-3Observations-99,3267116,124652,2
full-20-1-5-1-2-3Observations-29,1552946,176825,1
full-20-1-5-1-2-3Observations-80,1822981,184548,1
full-20-1-5-1-2-3Observations-83,2794153,227462,1
full-20-1-5-1-2-3Observations-50,1736115,125309,3
