file name,domain reading time,observations reading time,
full-20-1-5-1-5-1Observations-15,1695900,204339,1
full-20-1-5-1-5-1Observations-89,2159555,155962,1
full-20-1-5-1-5-1Observations-87,21104674,225969,2
full-20-1-5-1-5-1Observations-36,2965240,197958,2
full-20-1-5-1-5-1Observations-7,1816348,351347,5
full-20-1-5-1-5-1Observations-40,1733946,3668399,1
full-20-1-5-1-5-1Observations-53,2123939,1317771,3
full-20-1-5-1-5-1Observations-39,1764271,178079,1
full-20-1-5-1-5-1Observations-43,4353622,966207,1
full-20-1-5-1-5-1Observations-66,17850096,180539,3
full-20-1-5-1-5-1Observations-75,1650012,162449,1
full-20-1-5-1-5-1Observations-68,1725595,172951,1
full-20-1-5-1-5-1Observations-94,1570926,321759,1
full-20-1-5-1-5-1Observations-21,6102790,215541,2
full-20-1-5-1-5-1Observations-97,2083445,194257,1
full-20-1-5-1-5-1Observations-46,2251567,243738,1
full-20-1-5-1-5-1Observations-62,3930736,217360,2
full-20-1-5-1-5-1Observations-52,9271301,186545,1
full-20-1-5-1-5-1Observations-11,1803667,213604,1
full-20-1-5-1-5-1Observations-32,3083942,364194,2
full-20-1-5-1-5-1Observations-26,4845681,931643,2
full-20-1-5-1-5-1Observations-88,1995503,224081,1
full-20-1-5-1-5-1Observations-6,1734432,208320,1
full-20-1-5-1-5-1Observations-85,1705282,166265,1
full-20-1-5-1-5-1Observations-54,9940662,246171,1
full-20-1-5-1-5-1Observations-65,1643762,224197,1
full-20-1-5-1-5-1Observations-70,2811761,178713,1
full-20-1-5-1-5-1Observations-41,2066443,220363,1
full-20-1-5-1-5-1Observations-82,1597694,178297,1
full-20-1-5-1-5-1Observations-73,1555354,157592,3
full-20-1-5-1-5-1Observations-37,7320712,191879,1
full-20-1-5-1-5-1Observations-4,1598665,173788,1
full-20-1-5-1-5-1Observations-47,1572700,205180,2
full-20-1-5-1-5-1Observations-2,3941751,255855,1
full-20-1-5-1-5-1Observations-10,1980960,741398,1
full-20-1-5-1-5-1Observations-1,1526518,174361,1
full-20-1-5-1-5-1Observations-3,1730931,151771,1
full-20-1-5-1-5-1Observations-5,1355429,173205,1
full-20-1-5-1-5-1Observations-95,4279515,176150,2
full-20-1-5-1-5-1Observations-63,3992413,231221,1
full-20-1-5-1-5-1Observations-64,1422578,151405,1
full-20-1-5-1-5-1Observations-72,1908997,169139,1
full-20-1-5-1-5-1Observations-42,9573392,161406,1
full-20-1-5-1-5-1Observations-77,8259691,219444,1
full-20-1-5-1-5-1Observations-51,1772695,160014,2
full-20-1-5-1-5-1Observations-17,7275116,175018,1
full-20-1-5-1-5-1Observations-44,3780160,224278,1
full-20-1-5-1-5-1Observations-91,2259177,165473,1
full-20-1-5-1-5-1Observations-45,4211483,218327,1
full-20-1-5-1-5-1Observations-34,2057810,209761,2
full-20-1-5-1-5-1Observations-99,1752864,154121,5
full-20-1-5-1-5-1Observations-29,1640575,167572,1
full-20-1-5-1-5-1Observations-80,4112069,175959,4
full-20-1-5-1-5-1Observations-83,15696430,180125,1
full-20-1-5-1-5-1Observations-50,1757077,442220,1
full-20-1-5-1-5-1Observations-18,1566604,182542,1
full-20-1-5-1-5-1Observations-27,1625590,164334,1
full-20-1-5-1-5-1Observations-28,10255605,215453,2
full-20-1-5-1-5-1Observations-22,1816760,1052376,1
full-20-1-5-1-5-1Observations-69,1900173,211381,1
full-20-1-5-1-5-1Observations-12,4564696,902755,2
full-20-1-5-1-5-1Observations-60,10483163,1184785,1
full-20-1-5-1-5-1Observations-58,1756870,147789,2
full-20-1-5-1-5-1Observations-84,1590082,159724,1
full-20-1-5-1-5-1Observations-98,1556197,178450,1
full-20-1-5-1-5-1Observations-78,9327557,181938,1
full-20-1-5-1-5-1Observations-56,1486269,144674,1
full-20-1-5-1-5-1Observations-100,1493368,172096,1
full-20-1-5-1-5-1Observations-79,1465038,143835,1
full-20-1-5-1-5-1Observations-71,1552797,344334,1
full-20-1-5-1-5-1Observations-55,4166998,151582,1
full-20-1-5-1-5-1Observations-13,2154269,162175,1
full-20-1-5-1-5-1Observations-25,2558581,156664,2
full-20-1-5-1-5-1Observations-67,1610694,186768,1
full-20-1-5-1-5-1Observations-30,11504583,159614,1
full-20-1-5-1-5-1Observations-93,1211143,182818,1
full-20-1-5-1-5-1Observations-74,2542518,242873,1
full-20-1-5-1-5-1Observations-19,13376562,211783,1
full-20-1-5-1-5-1Observations-59,3885408,653827,1
full-20-1-5-1-5-1Observations-92,1636270,179275,1
full-20-1-5-1-5-1Observations-9,5618199,158754,1
full-20-1-5-1-5-1Observations-48,1898745,252264,2
full-20-1-5-1-5-1Observations-16,1362640,160798,3
full-20-1-5-1-5-1Observations-61,1676727,151158,1
full-20-1-5-1-5-1Observations-57,3276877,214629,1
full-20-1-5-1-5-1Observations-24,1512850,181430,1
full-20-1-5-1-5-1Observations-96,6152280,1072508,1
full-20-1-5-1-5-1Observations-35,2003568,166886,1
full-20-1-5-1-5-1Observations-14,1610463,223808,4
full-20-1-5-1-5-1Observations-86,1838496,177948,1
full-20-1-5-1-5-1Observations-33,1524693,157582,1
